NEW				
Uref (m/s)				
0				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
5.13	2.900141667	3.0191	13.003	21.8
10.17	2.92085	2.979483333	12.9703	21.8
14.85	2.938841667	2.943508333	13.0409	21.8
20.16	2.952216667	2.896183333	12.9893	21.8
25.02	2.966433333	2.852025	13.0462	21.8
30.15	2.974175	2.807891667	12.9759	21.8
35.01	2.982908333	2.778216667	13.0346	21.8
39.6	2.984341667	2.761691667	12.9576	21.8
42.93	2.986133333	2.7619	12.9763	21.8
NEW				
Uref (m/s)				
15				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.11	2.694625	3.249333333	15.0084	21.8
-39.78	2.692725	3.247558333	14.9788	21.8
-34.83	2.701516667	3.244083333	14.9994	21.8
-30.33	2.721708333	3.23695	14.993	21.8
-25.11	2.752583333	3.225933333	14.997	21.8
-19.98	2.789983333	3.210891667	14.9945	21.8
-14.76	2.828883333	3.192416667	15.0062	21.8
-9.99	2.863933333	3.170791667	14.9973	21.8
-5.31	2.896558333	3.147	15.0041	21.8
0	2.928841667	3.115741667	15.0032	21.8
5.13	2.957491667	3.078425	15.0048	21.8
10.08	2.980283333	3.038208333	15.0097	21.8
14.67	2.996308333	2.998558333	14.9952	21.8
20.07	3.011391667	2.950891667	14.9876	21.8
25.02	3.024708333	2.902241667	14.9985	21.8
30.15	3.0351	2.857083333	15.0009	21.8
35.01	3.042183333	2.822991667	14.9958	21.8
39.6	3.046158333	2.805925	14.993	21.8
42.93	3.047691667	2.8052	15.0028	21.8
